,name,gender,join-year,join-month,department,job,job-name,company
51,曹想,男,2008,8,财务,出纳,高级出纳,恒聪百汇传媒有限公司
52,张梅,男,2005,6,设计,原画,初级原画,商软冠联信息有限公司
53,张桂兰,女,2002,12,开发,前端开发,中级前端开发,通际名联网络有限公司
54,杨芳,男,2003,4,设计,原画,特聘原画,创联世纪网络有限公司
55,陈林,女,2001,8,管理,公司领导,初级公司领导,昊嘉科技有限公司
56,柳杨,女,2013,6,管理,公司领导,中级公司领导,精芯科技有限公司
57,王华,男,2007,2,运营,新媒体运营,中级新媒体运营,海创传媒有限公司
58,王楠,男,2003,8,设计,插画,特聘插画,佳禾科技有限公司
59,张建国,女,2012,2,运营,新媒体运营,中级新媒体运营,联通时科科技有限公司
60,覃雷,男,2014,4,测试,白盒测试,中级白盒测试,精芯传媒有限公司
61,夏淑英,男,2010,11,管理,公司领导,特聘公司领导,九方网络有限公司
62,李鑫,男,2014,4,财务,会计,中级会计,菊风公司科技有限公司
63,韩建华,男,2017,10,管理,技术领导,高级技术领导,精芯网络有限公司
64,孙杰,男,2006,4,运维,数据库运维,初级数据库运维,太极科技有限公司
65,魏秀荣,男,2003,3,财务,出纳,中级出纳,飞海科技传媒有限公司
66,董玉华,女,2010,5,设计,原画,特聘原画,华泰通安网络有限公司
67,潘冬梅,男,2006,9,开发,前端开发,特聘前端开发,巨奥网络有限公司
68,黄红霞,女,2005,6,设计,原画,中级原画,巨奥传媒有限公司
69,金萍,男,2007,3,测试,黑盒测试,特聘黑盒测试,开发区世创网络有限公司
70,俞柳,女,2002,3,开发,平台开发,高级平台开发,济南亿次元科技有限公司
71,刘洁,女,2007,8,运营,传统运营,初级传统运营,黄石金承网络有限公司
72,鞠帆,女,2010,4,管理,公司领导,特聘公司领导,快讯科技有限公司
73,周凤英,女,2011,1,设计,原画,高级原画,同兴万点传媒有限公司
74,燕建军,男,2001,5,运营,新媒体运营,初级新媒体运营,菊风公司网络有限公司
75,刘丽娟,女,2011,7,测试,黑盒测试,特聘黑盒测试,银嘉传媒有限公司
76,武琳,女,2018,3,运维,服务器管理,初级服务器管理,东方峻景网络有限公司
77,苏宁,女,2006,1,测试,黑盒测试,初级黑盒测试,浙大万朋信息有限公司
78,李桂珍,女,2010,4,设计,插画,中级插画,商软冠联传媒有限公司
79,唐坤,男,2004,11,运维,服务器管理,初级服务器管理,天开科技有限公司
80,王丹,女,2002,4,设计,插画,中级插画,黄石金承传媒有限公司
81,毕红梅,男,2018,7,运营,新媒体运营,中级新媒体运营,浦华众城传媒有限公司
82,樊宁,女,2016,9,财务,会计,特聘会计,易动力信息有限公司
83,许小红,女,2010,11,运维,数据库运维,中级数据库运维,飞海科技网络有限公司
84,赵楠,女,2016,2,管理,公司领导,中级公司领导,银嘉科技有限公司
85,鞠玲,男,2012,2,财务,出纳,初级出纳,黄石金承传媒有限公司
86,李淑珍,男,2018,5,设计,原画,特聘原画,菊风公司传媒有限公司
87,林淑兰,女,2014,4,运维,数据库运维,初级数据库运维,创汇传媒有限公司
88,杨凤英,女,2011,2,管理,技术领导,初级技术领导,MBP软件科技有限公司
89,窦军,男,2017,5,开发,后端开发,高级后端开发,信诚致远网络有限公司
90,赵淑兰,女,2009,6,管理,技术领导,中级技术领导,济南亿次元信息有限公司
91,冯洁,女,2013,8,测试,黑盒测试,特聘黑盒测试,商软冠联科技有限公司
92,龚丹,男,2017,8,运营,新媒体运营,特聘新媒体运营,彩虹信息有限公司
93,方兵,女,2018,3,财务,出纳,高级出纳,网新恒天信息有限公司
94,包军,女,2002,6,开发,前端开发,初级前端开发,群英网络有限公司
95,李宇,女,2009,8,开发,后端开发,高级后端开发,国讯科技有限公司
96,杨娟,男,2011,1,开发,后端开发,初级后端开发,海创网络有限公司
97,卢欢,男,2003,6,财务,出纳,初级出纳,毕博诚科技有限公司
98,黄艳,女,2002,9,运维,数据库运维,高级数据库运维,浙大万朋信息有限公司
99,吕荣,女,2015,6,管理,公司领导,特聘公司领导,华泰通安传媒有限公司
100,朱博,女,2016,1,运维,数据库运维,中级数据库运维,双敏电子信息有限公司
101,解秀梅,女,2012,12,财务,会计,高级会计,通际名联网络有限公司
102,杨平,女,2017,7,开发,后端开发,中级后端开发,南康网络有限公司
103,李玉兰,女,2003,6,运维,服务器管理,初级服务器管理,天益科技有限公司
104,张波,女,2010,10,管理,公司领导,初级公司领导,兰金电子传媒有限公司
105,邹海燕,男,2016,6,开发,前端开发,高级前端开发,中建创业信息有限公司
106,尹斌,女,2010,3,开发,后端开发,特聘后端开发,华成育卓网络有限公司
107,阮健,男,2004,2,运维,数据库运维,特聘数据库运维,惠派国际公司信息有限公司
108,孙辉,男,2011,4,开发,前端开发,高级前端开发,华远软件网络有限公司
109,李敏,女,2017,5,财务,出纳,高级出纳,易动力科技有限公司
110,李霞,男,2015,9,管理,公司领导,特聘公司领导,鸿睿思博科技有限公司
111,罗林,男,2017,8,财务,会计,特聘会计,济南亿次元信息有限公司
112,徐瑞,男,2016,3,测试,白盒测试,中级白盒测试,飞海科技信息有限公司
113,刘洁,男,2001,4,测试,白盒测试,中级白盒测试,国讯信息有限公司
114,戴建平,男,2018,2,运维,服务器管理,初级服务器管理,思优传媒有限公司
115,王志强,男,2019,7,测试,白盒测试,特聘白盒测试,创联世纪信息有限公司
116,赵建国,男,2004,4,测试,黑盒测试,初级黑盒测试,新格林耐特信息有限公司
117,曹鑫,男,2003,5,测试,黑盒测试,中级黑盒测试,天益信息有限公司
118,古建华,女,2016,7,开发,后端开发,特聘后端开发,南康网络有限公司
119,焦建国,女,2003,8,运营,传统运营,中级传统运营,华泰通安传媒有限公司
120,殷琳,女,2007,10,运维,数据库运维,中级数据库运维,太极科技有限公司
121,乔小红,男,2002,8,管理,公司领导,初级公司领导,联软网络有限公司
122,杨俊,女,2005,11,管理,公司领导,中级公司领导,思优网络有限公司
123,左晶,女,2011,6,运维,数据库运维,特聘数据库运维,中建创业信息有限公司
124,范秀云,女,2004,8,开发,前端开发,中级前端开发,昂歌信息传媒有限公司
125,张俊,女,2012,8,开发,平台开发,中级平台开发,飞海科技信息有限公司
126,罗丽丽,男,2004,8,财务,会计,初级会计,时刻网络有限公司
127,史秀梅,女,2019,4,财务,出纳,中级出纳,黄石金承网络有限公司
128,黄浩,男,2015,1,开发,后端开发,特聘后端开发,天开信息有限公司
129,郑帅,男,2004,3,开发,平台开发,初级平台开发,盟新网络有限公司
130,林玉,女,2014,10,开发,平台开发,初级平台开发,立信电子网络有限公司
131,沈兵,男,2005,2,管理,技术领导,中级技术领导,东方峻景信息有限公司
132,王楠,男,2018,8,运营,传统运营,高级传统运营,创联世纪网络有限公司
133,刘海燕,女,2003,3,运维,服务器管理,初级服务器管理,恩悌信息有限公司
134,张兵,男,2008,1,开发,前端开发,高级前端开发,东方峻景传媒有限公司
135,沈杨,女,2015,7,开发,平台开发,特聘平台开发,九方信息有限公司
136,毛颖,男,2017,9,测试,白盒测试,初级白盒测试,银嘉传媒有限公司
137,李丽,男,2014,1,财务,出纳,中级出纳,商软冠联网络有限公司
138,仝淑珍,女,2019,1,开发,前端开发,中级前端开发,黄石金承网络有限公司
139,张柳,女,2017,12,运维,数据库运维,中级数据库运维,创联世纪网络有限公司
140,李凯,女,2001,12,开发,前端开发,初级前端开发,华泰通安信息有限公司
141,魏帅,女,2016,6,运维,数据库运维,初级数据库运维,联软传媒有限公司
142,郑帅,男,2005,9,管理,公司领导,高级公司领导,泰麒麟网络有限公司
143,黄帅,男,2006,2,运维,服务器管理,中级服务器管理,创亿科技有限公司
144,喻英,男,2010,10,财务,出纳,初级出纳,创亿网络有限公司
145,关俊,女,2010,8,设计,原画,高级原画,合联电子信息有限公司
146,殷英,男,2003,6,运营,传统运营,特聘传统运营,九方网络有限公司
147,斯晨,男,2008,12,开发,后端开发,高级后端开发,济南亿次元科技有限公司
148,高欣,男,2004,2,开发,后端开发,中级后端开发,商软冠联传媒有限公司
149,李淑珍,男,2019,9,财务,会计,中级会计,九方网络有限公司
150,梁秀兰,女,2018,3,财务,出纳,中级出纳,思优传媒有限公司
151,魏秀珍,女,2005,12,管理,公司领导,中级公司领导,雨林木风计算机传媒有限公司
152,姚玉,女,2005,3,开发,前端开发,中级前端开发,快讯传媒有限公司
153,邓雪,男,2016,8,开发,后端开发,中级后端开发,艾提科信传媒有限公司
154,王龙,男,2003,11,运维,服务器管理,中级服务器管理,鸿睿思博传媒有限公司
155,田颖,女,2001,3,设计,原画,初级原画,浦华众城网络有限公司
156,王芳,女,2004,1,运维,服务器管理,高级服务器管理,维涛科技有限公司
157,张艳,男,2015,2,测试,白盒测试,中级白盒测试,恒聪百汇信息有限公司
158,刘艳,男,2009,11,运营,传统运营,中级传统运营,晖来计算机传媒有限公司
159,吴金凤,男,2005,8,设计,原画,高级原画,明腾信息有限公司
160,杜娜,女,2012,11,管理,公司领导,特聘公司领导,时空盒数字信息有限公司
161,李淑英,女,2018,4,开发,后端开发,中级后端开发,四通信息有限公司
162,许涛,男,2001,4,管理,技术领导,初级技术领导,快讯科技有限公司
163,张丽丽,男,2011,2,运维,服务器管理,高级服务器管理,鸿睿思博网络有限公司
164,连利,女,2017,2,管理,公司领导,中级公司领导,易动力传媒有限公司
165,王岩,男,2009,1,运营,新媒体运营,高级新媒体运营,网新恒天传媒有限公司
166,张宁,女,2003,4,管理,技术领导,特聘技术领导,快讯信息有限公司
167,张刚,男,2019,2,运营,新媒体运营,初级新媒体运营,海创传媒有限公司
168,余楠,女,2016,9,运营,新媒体运营,中级新媒体运营,图龙信息信息有限公司
169,姜凤英,男,2018,7,设计,原画,中级原画,昊嘉传媒有限公司
170,迟健,男,2002,7,开发,平台开发,中级平台开发,网新恒天科技有限公司
171,尹楠,男,2018,1,管理,技术领导,初级技术领导,明腾信息有限公司
172,唐雪梅,女,2006,2,运维,数据库运维,高级数据库运维,彩虹传媒有限公司
173,朱宁,女,2012,7,运维,服务器管理,高级服务器管理,浙大万朋科技有限公司
174,杨洁,男,2007,9,运维,数据库运维,中级数据库运维,恒聪百汇科技有限公司
175,王佳,男,2005,10,设计,原画,特聘原画,华远软件网络有限公司
176,张峰,男,2018,3,管理,公司领导,特聘公司领导,信诚致远传媒有限公司
177,刘桂香,女,2017,2,财务,会计,初级会计,快讯科技有限公司
178,陈杰,女,2017,3,设计,原画,初级原画,四通科技有限公司
179,李瑞,女,2002,6,财务,出纳,特聘出纳,合联电子网络有限公司
180,赵淑珍,女,2010,7,测试,黑盒测试,初级黑盒测试,天开传媒有限公司
181,毛秀芳,女,2010,7,设计,插画,高级插画,浙大万朋科技有限公司
182,徐建华,女,2002,4,测试,黑盒测试,中级黑盒测试,思优传媒有限公司
183,李岩,男,2002,10,设计,插画,中级插画,四通科技有限公司
184,朱敏,男,2014,4,测试,黑盒测试,特聘黑盒测试,同兴万点传媒有限公司
185,秦波,女,2013,9,运维,数据库运维,中级数据库运维,浙大万朋信息有限公司
186,胡想,男,2013,5,设计,原画,初级原画,迪摩传媒有限公司
187,徐雷,男,2005,10,测试,黑盒测试,中级黑盒测试,浦华众城信息有限公司
188,孙平,男,2015,10,财务,会计,高级会计,商软冠联信息有限公司
189,刘秀珍,男,2018,5,运营,新媒体运营,特聘新媒体运营,开发区世创科技有限公司
190,周磊,男,2003,2,开发,后端开发,初级后端开发,信诚致远信息有限公司
191,潘欢,男,2002,6,管理,技术领导,中级技术领导,艾提科信科技有限公司
192,邓玲,男,2005,8,运营,新媒体运营,中级新媒体运营,开发区世创网络有限公司
193,张勇,男,2004,1,运维,数据库运维,特聘数据库运维,联通时科科技有限公司
194,叶海燕,女,2011,6,设计,原画,初级原画,佳禾网络有限公司
195,郑秀珍,女,2008,1,开发,平台开发,高级平台开发,昂歌信息信息有限公司
196,林刚,女,2015,3,测试,白盒测试,中级白盒测试,盟新信息有限公司
197,李柳,男,2013,9,测试,白盒测试,特聘白盒测试,巨奥科技有限公司
198,周涛,男,2013,5,设计,原画,特聘原画,东方峻景网络有限公司
199,魏小红,女,2005,2,测试,黑盒测试,特聘黑盒测试,华远软件传媒有限公司
200,蔡红霞,女,2002,8,运维,服务器管理,高级服务器管理,商软冠联传媒有限公司
201,庄倩,男,2015,12,开发,后端开发,中级后端开发,晖来计算机信息有限公司
202,黄玉梅,女,2003,7,运维,服务器管理,特聘服务器管理,银嘉网络有限公司
203,梁桂英,男,2011,4,财务,会计,中级会计,中建创业网络有限公司
204,王志强,男,2002,10,开发,前端开发,初级前端开发,国讯网络有限公司
205,刘平,男,2019,5,运营,新媒体运营,高级新媒体运营,中建创业网络有限公司
206,张霞,女,2005,6,运营,新媒体运营,初级新媒体运营,迪摩传媒有限公司
207,李琴,女,2004,1,开发,后端开发,初级后端开发,昂歌信息网络有限公司
208,杨建国,男,2001,5,测试,白盒测试,特聘白盒测试,超艺科技有限公司
209,黄伟,男,2005,8,测试,白盒测试,初级白盒测试,海创网络有限公司
210,蔡凤兰,男,2006,7,管理,技术领导,初级技术领导,飞海科技信息有限公司
211,张婷婷,男,2003,4,测试,白盒测试,中级白盒测试,恒聪百汇网络有限公司
212,滕彬,男,2010,10,运营,新媒体运营,高级新媒体运营,易动力信息有限公司
213,季波,女,2016,10,管理,技术领导,中级技术领导,惠派国际公司网络有限公司
214,王林,男,2010,5,管理,公司领导,特聘公司领导,飞海科技传媒有限公司
215,石建华,女,2016,10,设计,原画,特聘原画,兰金电子信息有限公司
216,阎静,男,2017,5,设计,插画,高级插画,彩虹网络有限公司
217,邓楠,女,2001,4,运营,新媒体运营,初级新媒体运营,通际名联信息有限公司
218,傅俊,女,2013,9,运维,数据库运维,初级数据库运维,黄石金承信息有限公司
219,郑建国,女,2018,2,管理,公司领导,中级公司领导,创亿信息有限公司
220,童洋,女,2017,11,测试,黑盒测试,中级黑盒测试,襄樊地球村信息有限公司
221,罗玉珍,男,2018,6,运维,服务器管理,中级服务器管理,趋势科技有限公司
222,鲁燕,女,2002,2,财务,出纳,中级出纳,图龙信息网络有限公司
223,周桂芳,男,2004,4,测试,黑盒测试,特聘黑盒测试,七喜科技有限公司
224,丁浩,女,2006,1,管理,公司领导,初级公司领导,精芯网络有限公司
225,杨桂英,女,2008,8,运维,数据库运维,高级数据库运维,国讯网络有限公司
226,徐萍,男,2014,9,管理,公司领导,特聘公司领导,通际名联科技有限公司
227,李冬梅,女,2003,10,运维,数据库运维,中级数据库运维,双敏电子网络有限公司
228,张瑞,女,2019,5,设计,插画,特聘插画,同兴万点信息有限公司
229,唐荣,女,2017,9,运维,服务器管理,特聘服务器管理,凌颖信息信息有限公司
230,刘勇,男,2001,7,运营,传统运营,高级传统运营,时刻传媒有限公司
231,王琴,女,2011,10,开发,后端开发,初级后端开发,快讯信息有限公司
232,安瑞,男,2016,10,设计,原画,高级原画,开发区世创网络有限公司
233,胡成,男,2006,7,财务,出纳,高级出纳,联软信息有限公司
234,梁超,女,2001,2,财务,会计,特聘会计,易动力网络有限公司
235,刘瑜,男,2006,3,管理,公司领导,初级公司领导,黄石金承传媒有限公司
236,王桂英,女,2007,6,管理,公司领导,初级公司领导,彩虹信息有限公司
237,程成,女,2013,5,测试,黑盒测试,中级黑盒测试,艾提科信信息有限公司
238,何晶,女,2009,2,设计,插画,高级插画,中建创业网络有限公司
239,熊婷,男,2009,9,运维,数据库运维,特聘数据库运维,彩虹科技有限公司
240,吴云,女,2016,2,运营,传统运营,特聘传统运营,趋势网络有限公司
241,徐丹丹,男,2015,11,测试,黑盒测试,初级黑盒测试,恩悌网络有限公司
242,李健,男,2011,3,运营,新媒体运营,高级新媒体运营,迪摩网络有限公司
243,张晶,女,2016,12,设计,原画,特聘原画,凌云信息有限公司
244,徐东,女,2003,3,设计,原画,初级原画,富罳传媒有限公司
245,张玉,女,2006,12,设计,插画,高级插画,华远软件传媒有限公司
246,傅丽,女,2018,10,运维,数据库运维,高级数据库运维,晖来计算机信息有限公司
247,鞠平,男,2014,7,测试,白盒测试,特聘白盒测试,天开科技有限公司
248,陈丽,女,2019,11,财务,会计,高级会计,国讯传媒有限公司
249,陆利,男,2007,4,财务,出纳,高级出纳,创联世纪传媒有限公司
250,聂秀兰,男,2007,5,设计,插画,高级插画,济南亿次元传媒有限公司
251,温瑜,女,2011,4,测试,黑盒测试,初级黑盒测试,太极信息有限公司
252,郭萍,女,2001,6,运维,数据库运维,初级数据库运维,飞海科技网络有限公司
253,柳桂芝,男,2014,8,设计,插画,初级插画,新宇龙信息信息有限公司
254,刘金凤,男,2014,4,财务,出纳,高级出纳,联通时科信息有限公司
255,陶红,女,2009,10,开发,后端开发,中级后端开发,维旺明传媒有限公司
256,陆磊,女,2009,6,管理,技术领导,高级技术领导,新格林耐特网络有限公司
257,李涛,男,2012,3,管理,技术领导,特聘技术领导,戴硕电子网络有限公司
258,张琴,男,2011,12,运营,传统运营,初级传统运营,明腾传媒有限公司
259,孙平,男,2012,12,运维,数据库运维,中级数据库运维,明腾信息有限公司
260,林晨,男,2013,5,设计,插画,初级插画,维涛科技有限公司
261,萧桂芳,女,2016,8,设计,插画,高级插画,四通科技有限公司
262,朱晨,男,2017,6,测试,黑盒测试,初级黑盒测试,诺依曼软件网络有限公司
263,钟淑珍,男,2016,8,开发,前端开发,中级前端开发,新宇龙信息科技有限公司
264,夏玉兰,女,2003,2,开发,后端开发,中级后端开发,太极科技有限公司
265,李娟,女,2008,5,运营,传统运营,初级传统运营,南康信息有限公司
266,黄辉,女,2004,6,测试,黑盒测试,高级黑盒测试,商软冠联传媒有限公司
267,叶华,女,2002,10,财务,会计,特聘会计,时刻网络有限公司
268,牛欣,男,2014,4,开发,后端开发,高级后端开发,数字100科技有限公司
269,张红霞,男,2003,6,测试,白盒测试,初级白盒测试,七喜科技有限公司
270,刘玉华,男,2010,7,设计,原画,高级原画,联软网络有限公司
271,林岩,女,2008,8,运维,服务器管理,高级服务器管理,创联世纪科技有限公司
272,卞燕,男,2006,12,运营,传统运营,高级传统运营,恒聪百汇信息有限公司
273,宋军,男,2010,3,设计,原画,高级原画,中建创业科技有限公司
274,张玉华,男,2015,1,测试,白盒测试,初级白盒测试,超艺网络有限公司
275,黎颖,女,2014,7,开发,后端开发,特聘后端开发,菊风公司信息有限公司
276,钟凤兰,女,2018,1,财务,出纳,初级出纳,黄石金承传媒有限公司
277,韩桂珍,男,2014,7,设计,插画,高级插画,新格林耐特科技有限公司
278,李畅,女,2009,1,测试,黑盒测试,特聘黑盒测试,中建创业网络有限公司
279,孙敏,男,2005,7,测试,白盒测试,高级白盒测试,毕博诚信息有限公司
280,黄琳,男,2003,1,开发,后端开发,特聘后端开发,趋势网络有限公司
281,徐凤英,男,2004,4,运营,新媒体运营,高级新媒体运营,创联世纪科技有限公司
282,陈宁,女,2018,2,设计,插画,初级插画,群英信息有限公司
283,赵雷,男,2007,6,运维,服务器管理,高级服务器管理,数字100信息有限公司
284,钱斌,女,2005,1,管理,技术领导,特聘技术领导,网新恒天传媒有限公司
285,陈桂兰,男,2006,7,设计,原画,高级原画,泰麒麟科技有限公司
286,李桂香,男,2008,11,开发,平台开发,中级平台开发,菊风公司传媒有限公司
287,王玲,男,2013,10,开发,后端开发,中级后端开发,昊嘉网络有限公司
288,俞玉兰,男,2006,7,开发,前端开发,高级前端开发,飞海科技信息有限公司
289,袁波,女,2015,6,财务,出纳,特聘出纳,飞利信传媒有限公司
290,包秀梅,女,2017,5,测试,黑盒测试,中级黑盒测试,群英网络有限公司
291,刘秀珍,女,2003,9,开发,平台开发,特聘平台开发,兰金电子网络有限公司
292,赵雷,男,2018,1,运维,数据库运维,初级数据库运维,兰金电子信息有限公司
293,高玲,男,2016,2,管理,公司领导,高级公司领导,泰麒麟信息有限公司
294,毛桂芳,女,2004,3,管理,技术领导,初级技术领导,华远软件网络有限公司
295,张淑英,女,2003,12,测试,黑盒测试,特聘黑盒测试,图龙信息信息有限公司
296,张岩,女,2015,12,管理,公司领导,中级公司领导,银嘉科技有限公司
297,陈雷,女,2016,6,管理,公司领导,中级公司领导,图龙信息传媒有限公司
298,周宇,男,2014,5,测试,黑盒测试,特聘黑盒测试,九方传媒有限公司
299,张晨,男,2017,9,财务,出纳,中级出纳,中建创业信息有限公司
300,汪璐,男,2012,1,开发,前端开发,特聘前端开发,艾提科信信息有限公司
301,戴淑英,男,2004,5,运营,传统运营,初级传统运营,创联世纪传媒有限公司
302,贾飞,男,2002,5,开发,前端开发,特聘前端开发,恩悌传媒有限公司
303,余峰,女,2008,7,运维,服务器管理,高级服务器管理,泰麒麟科技有限公司
304,萧健,女,2018,9,运营,新媒体运营,高级新媒体运营,华远软件信息有限公司
305,黄慧,男,2011,5,运维,服务器管理,特聘服务器管理,维涛信息有限公司
306,徐建平,女,2005,10,运营,新媒体运营,特聘新媒体运营,中建创业网络有限公司
307,汪倩,女,2018,5,开发,平台开发,中级平台开发,易动力信息有限公司
308,陈颖,女,2016,2,财务,会计,特聘会计,合联电子科技有限公司
309,张建国,男,2008,12,运营,新媒体运营,高级新媒体运营,华成育卓网络有限公司
310,彭玉华,男,2003,6,财务,出纳,初级出纳,MBP软件科技有限公司
311,陈秀华,男,2001,7,测试,黑盒测试,初级黑盒测试,浦华众城信息有限公司
312,张秀芳,女,2003,4,管理,公司领导,高级公司领导,创汇科技有限公司
313,张丽娟,女,2013,5,管理,技术领导,特聘技术领导,明腾网络有限公司
314,钟凯,女,2014,12,财务,出纳,高级出纳,图龙信息科技有限公司
315,杨秀英,男,2010,7,财务,会计,初级会计,维涛传媒有限公司
316,袁艳,女,2002,5,运营,新媒体运营,中级新媒体运营,黄石金承网络有限公司
317,伍燕,男,2007,1,运维,数据库运维,高级数据库运维,趋势科技有限公司
318,潘晶,男,2002,4,财务,会计,高级会计,凌云信息有限公司
319,温桂花,女,2004,8,财务,会计,特聘会计,联通时科网络有限公司
320,罗博,女,2018,1,开发,平台开发,中级平台开发,襄樊地球村科技有限公司
321,段帆,女,2013,5,运维,服务器管理,高级服务器管理,易动力信息有限公司
322,蓝静,女,2009,2,运营,新媒体运营,高级新媒体运营,银嘉科技有限公司
323,齐勇,男,2019,6,设计,原画,特聘原画,商软冠联网络有限公司
324,胡兰英,女,2013,3,运维,服务器管理,初级服务器管理,诺依曼软件信息有限公司
325,宋云,女,2017,6,财务,会计,初级会计,创亿信息有限公司
326,卢佳,男,2011,10,管理,技术领导,高级技术领导,创汇科技有限公司
327,吕伟,女,2012,6,设计,原画,中级原画,恩悌网络有限公司
328,尤彬,女,2013,11,开发,后端开发,高级后端开发,商软冠联传媒有限公司
329,杨丽,女,2005,9,开发,前端开发,初级前端开发,良诺传媒有限公司
330,徐金凤,女,2013,7,开发,平台开发,特聘平台开发,华远软件科技有限公司
331,高淑英,女,2005,12,测试,黑盒测试,高级黑盒测试,和泰网络有限公司
332,方玉珍,女,2019,1,财务,会计,特聘会计,天开网络有限公司
333,郑婷,男,2013,4,设计,插画,中级插画,华远软件科技有限公司
334,闻秀华,女,2004,2,设计,原画,高级原画,创汇信息有限公司
335,孙婷婷,男,2006,4,财务,会计,高级会计,易动力传媒有限公司
336,范伟,女,2017,10,开发,后端开发,初级后端开发,新宇龙信息网络有限公司
337,董兵,男,2019,5,设计,插画,特聘插画,巨奥科技有限公司
338,张欣,女,2007,1,运营,传统运营,初级传统运营,华成育卓信息有限公司
339,邓瑜,男,2006,1,测试,黑盒测试,高级黑盒测试,新宇龙信息信息有限公司
340,李桂英,男,2008,2,运营,传统运营,特聘传统运营,华成育卓科技有限公司
341,周娜,男,2016,2,设计,插画,特聘插画,富罳传媒有限公司
